originKey,name,lat,lng,radiusMeters,routeCode
TOP SR,ไทยออยล์ ศรีราชา,13.10985,100.913656,300,Z12
MK,คลังMK,13.37108873,100.000226,300,Z01
CP,คลังCP,10.43757364,99.22090529,300,Z02
SRT,คลังSRT,9.158557772,99.38463158,300,Z03
SK,คลังSK,,,300,Z04
IRPC_CP,IRPCชุมพร,10.42509146,99.2662669,300,Z05
KK,คลังKK,16.67851456,102.80198,300,Z06
LP,คลังLP,18.29467435,99.41481973,300,Z07
NK,คลังNK,14.35955794,100.8792244,300,Z08
TOP PP,TOP PP,14.523903,100.847954,300,Z09
LLK,คลังLLK,13.92790148,100.7016769,300,Z10
IRPC AY,IRPCอยุธยา,14.52566639,100.6841785,300,Z11
ESSO SR,ESSO SR,13.09639559,100.8859259,300,Z13
IRPC RY,IRPCระยอง,12.6613246,101.2992216,300,Z14
PTTGC_SPRC,PTTGC/SPRC,12.680989,101.158238,300,Z15
Fleet SR,Fleet SR,13.11694778,101.0154191,300,Z16
PC,คลังPC,14.67434357,102.0124152,300,Z17
PL,คลังPL,16.75509248,100.263057,300,Z18
NS,คลังNS,15.39696922,100.1488118,300,Z19
DC TWW,DC TWW,,,300,Z20
SU,คลังSU,14.77275118,103.6227418,300,Z21
IRPC PD,IRPCพระประแดง,13.64081209,100.5299279,300,Z22
PPP,PPPGreen,11.05014889,99.37706583,300,Z23
FPT_PC,FPTพิจิตร,16.510958,100.132801,300,Z24
FPT_SP,FPTสบปราบ,17.908529,99.340628,300,Z25
TPN,TPNบ้านไผ่,16.06865361,102.6693028,300,Z26
BPI,BPIบางปะอิน,14.174351,100.545555,300,Z27
